Проект,,Веб-приложение YouTube (видеоплеер),
Дата,,05.05.2026,
Тестировщик,,Альфия Чекемоглу,
Предусловия,,Открыт сайт https://www.youtube.com  ,
Окружение,,"ОС: Windows 11
Браузер: Google Chrome (Version 147.0.7727.57)
Устройство: ПК/ноутбук
Интернет: стабильное соединение",
Вид тестрования,,smoke,
Номер,Проверки,Статус,Комментарий
1,"Открытие видео по клику с автоматическим
воспроизведением",,
2,Регулировка громкости в плеере,,
3,Перемотка по таймлайну,,
4,Переключение звука (mute/unmute),,
5,Ползунок прогресса двигается во время воспроизведения,,
6,Отображение общей длительности видео,,
7,"Движение ползунка прогресса во время
воспроизведения
",,
8,"Открытие меню настроек по нажатию на иконку
«шестерёнка»",,
9,Переход в полноэкранный режим,,
10,Выход из полноэкранного режима,,
11,Переключение качества видео,,
12,Включение и выключение субтитров (при наличии),,
13,Загрузка видео без ошибок,,
14,Отсутствие бесконечной загрузки,,
15,Переключение состояний воспроизведения (Play/Pause),,